lhs.Class,lhs.Sex,lhs.Survived,lhs.Age,rhs.Age,rhs.Sex,rhs.Survived,support,confidence,lift
NULL,NULL,NULL,NULL,Adult,NULL,NULL,0.950477056,0.950477056,1
2nd,NULL,NULL,NULL,Adult,NULL,NULL,0.118582463,0.915789474,0.963505082
1st,NULL,NULL,NULL,Adult,NULL,NULL,0.144934121,0.981538462,1.032679806
NULL,Female,NULL,NULL,Adult,NULL,NULL,0.193094048,0.904255319,0.951369961
3rd,NULL,NULL,NULL,Adult,NULL,NULL,0.284870513,0.888101983,0.934374983
NULL,NULL,Yes,NULL,Adult,NULL,NULL,0.297137665,0.919831224,0.96775742
Crew,NULL,NULL,NULL,NULL,Male,NULL,0.391640164,0.974011299,1.238474217
Crew,NULL,NULL,NULL,Adult,NULL,NULL,0.402089959,1,1.05210325
NULL,NULL,No,NULL,NULL,Male,NULL,0.61971831,0.915436242,1.163994898
NULL,NULL,No,NULL,Adult,NULL,NULL,0.653339391,0.965100671,1.015385553
NULL,Male,NULL,NULL,Adult,NULL,NULL,0.757383008,0.963027152,1.013203997
NULL,Female,Yes,NULL,Adult,NULL,NULL,0.143571104,0.918604651,0.966466939
3rd,NULL,NULL,NULL,Adult,NULL,NULL,0.191731031,0.82745098,1.222295039
3rd,NULL,No,NULL,Adult,NULL,NULL,0.216265334,0.901515152,0.948487021
3rd,Male,NULL,NULL,Adult,NULL,NULL,0.209904589,0.905882353,0.953081768
NULL,Male,Yes,NULL,Adult,NULL,NULL,0.153566561,0.920980926,0.968967026
Crew,NULL,No,NULL,NULL,Male,NULL,0.304407088,0.995542348,1.265851362
Crew,NULL,No,NULL,Adult,NULL,NULL,0.305770104,1,1.05210325
Crew,Male,NULL,NULL,Adult,NULL,NULL,0.391640164,1,1.05210325
Crew,NULL,NULL,Adult,NULL,Male,NULL,0.391640164,0.974011299,1.238474217
NULL,Male,No,NULL,Adult,NULL,NULL,0.603816447,0.974340176,1.025106466
NULL,NULL,No,Adult,NULL,Male,NULL,0.603816447,0.924200278,1.17513854
3rd,Male,No,NULL,NULL,Male,NULL,0.175829169,0.917061611,0.964843502
3rd,NULL,No,Adult,NULL,Male,NULL,0.175829169,0.81302521,1.033777289
3rd,Male,NULL,Adult,NULL,NULL,No,0.175829169,0.837662338,1.237379064
Crew,Male,No,NULL,Adult,NULL,NULL,0.304407088,1,1.05210325
Crew,NULL,No,Adult,NULL,Male,NULL,0.304407088,0.995542348,1.265851362
